naziv;vrsta;adresa;gradska_cetvrt;lat;lon;oib;iznos_eur;broj_isplata
Strossmayerova galerija  starih majstora HAZU;Kulturna ustanova;Trg Nikole Zrinskog 11;;45.809258;15.97847;;;
Moderna galerija;Kulturna ustanova;Ulica Andrije Hebranga 1;;45.809215;15.977529;;;
Kabinet grafike HAZU;Kulturna ustanova;Ulica Andrije Hebranga 1;;45.809215;15.977529;;;
Gliptoteka HAZU;Kulturna ustanova;Medvedgradska ulica 2;;45.822132;15.977375;;;
Grafička zbirka nacionalne i sveučilišne knjižnice;Kulturna ustanova;Ulica Hrvatske Bratske Zajednice 4;;45.796995;15.977953;;;
AGM - galerija Nova;Kulturna ustanova;Mihanovićeva ulica 28;;45.805682;15.973207;;;
Institut za suvremenu umjetnost SCCA Zagreb;Kulturna ustanova;Šenoina ulica 11;;45.806512;15.981304;;;
Pučko otvoreno učilište - Galerija Bernardo Bernardi;Kulturna ustanova;Ulica grada Vukovara 68;;45.799316;15.971301;;;
Studentski centar - Galerija;Kulturna ustanova;Savska cesta 25;;45.803928;15.965816;;;
Galerija Amadeo;Kulturna ustanova;Ulica Đure Basarička 18;;45.817449;15.974182;;;
Galerija Aura;Kulturna ustanova;Trg Republike Hrvatske 9;;45.809111;15.968584;;;
Galerija Forum - KIC;Kulturna ustanova;Ulica Nikole Tesle 16;;45.811322;15.974556;;;
Galerija 11;Kulturna ustanova;Kamenita ulica 11;;45.815771;15.974433;;;
Galerija Arterija;Kulturna ustanova;Savska cesta 16;;45.804;15.965061;;;
Galerija Banfi;Kulturna ustanova;Ulica Pavla Radića 31;;45.815499;15.975497;;;
Galerija Beck;Kulturna ustanova;Ulica Jurja Habdelića 2;;45.815436;15.974742;;;
Galerija Kaptol;Kulturna ustanova;Kaptol 13;;45.817717;15.977826;;;
Galerija Mala;Kulturna ustanova;Trg bana Josipa Jelačića 6;;45.813362;15.977367;;;
Galerija Zvonimir;Kulturna ustanova;Ulica Antuna Bauera 33;;45.809381;15.989939;;;
Studio Josip Račić - Moderna galerija;Kulturna ustanova;Margaretska ulica 3;;45.812615;15.974495;;;
Galerija Tomislav Ostoja;Kulturna ustanova;Opatička ulica 6;;45.816505;15.974931;;;
Galerija Karas;Kulturna ustanova;Praška ulica 4;;45.812309;15.977406;;;
Laurana;Kulturna ustanova;Našićka ulica 16;;45.790829;15.931724;;;
Atelijer Meštrović;Kulturna ustanova;Mletačka ulica 8;;45.817319;15.973351;;;
Galerija Mirko Virius - HDNU;Kulturna ustanova;Tkalčićeva ulica 14;;45.814698;15.9763;;;
Galerija ULUPUH;Kulturna ustanova;Tkalčićeva ulica 14;;45.814698;15.9763;;;
Galerija Vladimir Nazor;Kulturna ustanova;Ilica 163A;;45.812341;15.948876;;;
Galerija Miroslav Kraljević;Kulturna ustanova;Ulica Pavla Šubića 29;;45.812171;15.994592;;;
Art galerija Makek;Kulturna ustanova;Trg kralja Tomislava 15;;45.806242;15.977845;;;
Dom HDLU / Hrvatsko društvo likovnih umjetnika;Kulturna ustanova;Trg žrtava fašizma 16;;45.810052;15.987024;;;
Galerija Nova;Kulturna ustanova;Ulica Nikole Tesle  7;;45.811246;15.975747;;;
Greta - umjetničko izložbena galerija;Kulturna ustanova;Ilica 92;;45.812471;15.964227;;;
Galerija Kranjčar;Kulturna ustanova;Kaptol 26;;45.816291;15.978524;;;
Lauba - kuća za ljude i umjetnost;Kulturna ustanova;Prilaz Baruna Filipovića 23A;;45.811681;15.940684;;;
Galerija Remek djela;Kulturna ustanova;Stenjevečka ulica 1;;45.810047;15.886749;;;
Zbirka Richter;Kulturna ustanova;Vrhovec 38;;45.818363;15.947807;;;
Art galerija Miriam;Kulturna ustanova;Jurišićeva ulica 6;;45.812297;15.979766;;;
Art point centar (AGM);Kulturna ustanova;Gundulićeva ulica 21;;45.810232;15.972261;;;
Europski dom Hrvatska (Europski pokret Hrvatska);Kulturna ustanova;Jurišićeva ulica 1;;45.812641;15.978612;;;
Galerija Canvas;Kulturna ustanova;Ulica Nikole Tomašića 5;;45.811784;15.987618;;;
Galerija Danti;Kulturna ustanova;Tkalčićeva ulica 38;;45.815831;15.976584;;;
Galerija Deči;Kulturna ustanova;Ulica Pavla Radića 19;;45.814779;15.975563;;;
Galerija Divila;Kulturna ustanova;Lovćenska ulica 29;;45.847159;15.961743;;;
Galerija Događanja (KC Peščenica);Kulturna ustanova;Ivanićgradska ulica 41A;;45.808221;16.01779;;;
Galerija EE;Kulturna ustanova;Ulica Savezne Republike Njemačke 4;;45.779616;15.989453;;;
Galerija Gala;Kulturna ustanova;Gundulićeva ulica 16;;45.81093;15.97199;;;
Galerija Harmica;Kulturna ustanova;Trg bana Josipa Jelačića 6;;45.813362;15.977367;;;
Galerija hrvatske naivne umjetnosti;Kulturna ustanova;Bakačeva ulica 5;;45.813683;15.97842;;;
Galerija (antikvarijat) Itea;Kulturna ustanova;Vitezovićeva ulica 6;;45.815388;15.973637;;;
Galerija karikatura Felix Fan Factory;Kulturna ustanova;Ulica Augusta Harambašića 10;;45.816714;16.007497;;;
Galerija Kopjar;Kulturna ustanova;Gundulićeva ulica 11;;45.811402;15.972206;;;
Galerija Marisall;Kulturna ustanova;Mesnička ulica 4;;45.813584;15.970662;;;
Galerija Modulor (CEKATE);Kulturna ustanova;Ulica Pavla Šubića 29;;45.812171;15.994592;;;
Galerija Mona Lisa;Kulturna ustanova;Tkalčićeva ulica 77;;45.819404;15.976266;;;
Galerija POU;Kulturna ustanova;Ulica Nikole Tomašića 5;;45.811784;15.987618;;;
Galerija Sunce Zagreb URIHO;Kulturna ustanova;Avenija Marina Držića 1;;45.804665;15.993872;;;
Galerija T;Kulturna ustanova;Trg kralja Tomislava 19;;45.806997;15.977808;;;
Galerija Turkalj;Kulturna ustanova;Tkalčićeva ulica 7;;45.813983;15.976261;;;
Galerija Vladimir Filakovac;Kulturna ustanova;Dubrava 51A;;45.829627;16.054104;;;
Galerija Zaklade za djecu Hrvatske;Kulturna ustanova;Trg bana Josipa Jelačića 12;;45.812506;15.978203;;;
Kula Lotrščak;Kulturna ustanova;Dverce 1;;45.814617;15.973305;;;
Mala galerija naive Zrinjevac;Kulturna ustanova;Trg Nikole Zrinskog 14;;45.809716;15.977539;;;
Memorijalna zbirka Joso Kljaković;Kulturna ustanova;Rokov perivoj 4;;45.81518;15.967395;;;
Memorijana zbirka Miroslava i Bele Krleže;Kulturna ustanova;Krležin Gvozd 23;;45.818436;15.971254;;;
Hrvatsko narodno kazalište u Zagrebu;Kulturna ustanova;Trg Republike Hrvatske 15;;45.809657;15.970016;;;
Satiričko kazalište Kerempuh;Kulturna ustanova;Prolaz Fadila Hadžića 7;;45.812356;15.971094;;;
Teatar &TD;Kulturna ustanova;Savska cesta 25;;45.803573;15.967627;;;
Dječje kazalište Dubrava;Kulturna ustanova;Cerska ulica 1;;45.824274;16.041679;;;
Histrionski dom Zagreb;Kulturna ustanova;Ilica 90;;45.812489;15.964332;;;
Kazalište KNAP;Kulturna ustanova;Ivanićgradska ulica 41A;;45.808221;16.01779;;;
Scena Ribnjak;Kulturna ustanova;Park Ribnjak 1;;45.81593;15.980052;;;
Scena Vidra;Kulturna ustanova;Draškovićeva ulica 80;;45.806169;15.983817;;;
Teatar EXIT;Kulturna ustanova;Ilica 208;;45.812527;15.949968;;;
Gorgona - Polivalentna multimedijalna dvorana Gorgona;Kulturna ustanova;Avenija Dubrovnik 17;;45.778436;15.981546;;;
Dokukino KIC;Kulturna ustanova;Preradovićeva ulica 5;;45.811457;15.974347;;;
Kino Europa;Kulturna ustanova;Varšavska ulica 3;;45.811816;15.973437;;;
Kino Croatia;Kulturna ustanova;Katančićeva ulica 3;;45.808218;15.977232;;;
Art kino Grič;Kulturna ustanova;Jurišićeva ulica 6;;45.812297;15.979766;;;
Kino Tuškanac;Kulturna ustanova;Tuškanac 1;;45.815484;15.969443;;;
Kino SC - Studentski centar;Kulturna ustanova;Savska cesta 25;;45.803316;15.966765;;;
Cineplexx City Centar One East;Kulturna ustanova;Slavonska avenija 11D;;45.801252;16.050457;;;
Kino Forum;Kulturna ustanova;Jarunska ulica 2;;45.784937;15.947358;;;
Kino Cinestar Branimir Centar;Kulturna ustanova;Ulica kneza Branimira 29;;45.805674;15.984692;;;
Kino Cinestar Avenue Mall;Kulturna ustanova;Avenija Dubrovnik 16;;45.777037;15.97864;;;
Cinestar Arena IMAX;Kulturna ustanova;Ulica Vice Vukova 6;;45.770833;15.941238;;;
Kaptol Boutique Cinema;Kulturna ustanova;Nova Ves 17;;45.820336;15.977928;;;
Kinoteka;Kulturna ustanova;Kordunska ulica 1;;45.81145;15.960111;;;
Ljetna pozornica Tuškanac;Kulturna ustanova;Dubravkin put;;45.819643;15.971815;;;
Bibliobusna služba;Kulturna ustanova;Ulica Dragutina Golika 36;;45.801804;15.929118;;;
Čitaonica i Galerija VN;Kulturna ustanova;Ilica 163A;;45.812341;15.948876;;;
Čitaonica Kustošija;Kulturna ustanova;Trg Hrvatskih obrambenih snaga 6;;45.8142;15.925986;;;
"Dječja knjižnica ""M2""";Kulturna ustanova;Medveščak 71;;45.82423;15.980074;;;
Dječja knjižnica Marina Držića;Kulturna ustanova;Avenija Marina Držića 10;;45.80181;15.994474;;;
Gradska knjižnica;Kulturna ustanova;Trg Ante Starčevića 6;;45.805815;15.977719;;;
Gradska knjižnica Ante Kovačića, Zaprešić;Kulturna ustanova;Trg žrtava fašizma 6, 10290 Zaprešić;;45.863;15.790606;;;
Knjižna stanica Gornje Vrapče;Kulturna ustanova;Vrapčanska ulica 166;;45.830646;15.905333;;;
Knjižnica Augusta Cesarca, Ravnice;Kulturna ustanova;Radauševa ulica 7;;45.820096;16.026385;;;
Knjižnica Augusta Cesarca, Šubićeva;Kulturna ustanova;Ulica Pavla Šubića 40;;45.813396;15.996555;;;
Knjižnica Božidara Adžije;Kulturna ustanova;Trg kralja Petra Krešimira IV. 2;;45.808543;15.99203;;;
Knjižnica Dubec;Kulturna ustanova;Ulica Rudolfa Ivankovića 34;;45.829453;16.08274;;;
Knjižnica Dubrava;Kulturna ustanova;Dubrava 51A;;45.829627;16.054104;;;
Knjižnica Dugave;Kulturna ustanova;Ulica sv. Mateja 7;;45.765511;15.994856;;;
Knjižnica Gajnice;Kulturna ustanova;Meksička ulica 6;;45.815805;15.872408;;;
Knjižnica i čitaonica Bogdana Ogrizovića;Kulturna ustanova;Preradovićeva ulica 5;;45.811457;15.974347;;;
Knjižnica Ivana Gorana Kovačića;Kulturna ustanova;Ulica grada Vukovara 35;;45.800021;15.966371;;;
Knjižnica Ivane Brlić Mažuranić;Kulturna ustanova;Ulica Joze Laurenčića 8;;45.793421;16.003728;;;
Knjižnica Jelkovec;Kulturna ustanova;Ulica Vladimira Stahuljaka 3;;45.810576;16.107303;;;
Knjižnica Kajfešov brijeg;Kulturna ustanova;Ulica grada Gualda Tadina 4;;45.816757;15.943583;;;
Knjižnica Knežija;Kulturna ustanova;Albaharijeva ulica 7;;45.791102;15.950699;;;
Knjižnica Kustošija;Kulturna ustanova;Ilica 312A;;45.813675;15.926439;;;
Knjižnica Ljubljanica;Kulturna ustanova;Ljubljanica 24;;45.796796;15.93422;;;
Knjižnica Mala Mlaka;Kulturna ustanova;Malomlačka ulica 91;;45.728818;15.977197;;;
Knjižnica Marije Jurić Zagorke;Kulturna ustanova;Krvavi most 2;;45.81469;15.975851;;;
Knjižnica Marina Držića;Kulturna ustanova;Ulica grada Vukovara 222;;45.800061;15.987125;;;
Knjižnica Medveščak;Kulturna ustanova;Trg žrtava fašizma 7;;45.810257;15.988221;;;
Knjižnica Novi Zagreb;Kulturna ustanova;Ulica Božidara Magovca 15;;45.771776;15.99521;;;
Knjižnica Podsused;Kulturna ustanova;Podsusedski trg 3;;45.816411;15.835116;;;
Knjižnica Prečko;Kulturna ustanova;Slavenskoga ulica 12;;45.79477;15.89922;;;
Knjižnica Savica;Kulturna ustanova;Ulica Ljerke Šram 4;;45.793546;15.995834;;;
Knjižnica Savski gaj;Kulturna ustanova;Nehruov trg 46;;45.775849;15.955892;;;
Knjižnica Selčina;Kulturna ustanova;Selčinska ulica 8;;45.832076;16.112326;;;
Knjižnica Sesvete;Kulturna ustanova;Trg Dragutina Domjanića 6;;45.826826;16.109746;;;
Knjižnica Silvija Strahimira Kranjčevića;Kulturna ustanova;Zapoljska ulica 1;;45.806049;16.020294;;;
Knjižnica Sloboština;Kulturna ustanova;Ulica Karela Zahradnika 8;;45.762624;15.986422;;;
Knjižnica Staglišće;Kulturna ustanova;Ulica Augusta Prosenika 7;;45.788073;15.931296;;;
Knjižnica Špansko-jug;Kulturna ustanova;Ulica Slavka Batušića 4;;45.800933;15.896898;;;
Knjižnica Špansko-sjever;Kulturna ustanova;Trg Ivana Kukuljevića 9;;45.805184;15.896422;;;
Knjižnica Tina Ujevića;Kulturna ustanova;Ulica grada Vukovara 14;;45.799101;15.956344;;;
Knjižnica Vjekoslava Majera;Kulturna ustanova;Meštrovićev trg 1G;;45.779425;15.996443;;;
Knjižnica Vladimira Nazora;Kulturna ustanova;Vodovodna ulica 13;;45.811086;15.948741;;;
Knjižnica Voltino;Kulturna ustanova;Ulica Dragutina Golika 36;;45.801804;15.929118;;;
Knjižnica Vrapče;Kulturna ustanova;Ulica Majke Terezije 2;;45.812891;15.898727;;;
Koncertna dvorana Vatroslav Lisinski;Kulturna ustanova;Trg Stjepana Radića 4;;45.801017;15.97982;;;
Koncertna dvorana Blagoje Bersa;Kulturna ustanova;Trg Republike Hrvatske 12;;45.81005;15.968642;;;
Arena Zagreb;Kulturna ustanova;Ulica Vice Vukova 8;;45.771204;15.944449;;;
Etnografski muzej u Zagrebu;Kulturna ustanova;Trg Ivana, Antuna i Vladimira Mažuranića 14;;45.808358;15.969103;;;
Hrvatski muzej arhitekture;Kulturna ustanova;Ulica Ivana Gorana Kovačića 37;;45.821022;15.968764;;;
Hrvatski poštansko - telekomunikacijski muzej / HT muzej;Kulturna ustanova;Jurišićeva ulica 13;;45.812451;15.980998;;;
Lovački muzej Hrvatskog lovačkog saveza;Kulturna ustanova;Ulica Vladimira Nazora 63;;45.821269;15.968007;;;
Muzej Mimara / Muzej Zbirka umjetnina Ante i Wiltrud Topić Mimara;Kulturna ustanova;Rooseveltov trg 5;;45.808198;15.967202;;;
Hrvatski športski muzej;Kulturna ustanova;Praška ulica 2;;45.812517;15.977453;;;
Muzej iluzija;Kulturna ustanova;Ilica 72;;45.813037;15.966446;;;
Muzej prekinutih veza;Kulturna ustanova;Sv. Ćirila i Metoda 2;;45.814958;15.973449;;;
Hrvatski muzej medicine i farmacije HAZU;Kulturna ustanova;Gundulićeva ulica 24;;45.809768;15.972034;;;
Muzej blaženoga Alojzija Stepinca;Kulturna ustanova;Kaptol 31;;45.814327;15.978953;;;
Hrvatski muzej naivne umjetnosti;Kulturna ustanova;Ulica sv. Ćirila i Metoda 3;;45.815381;15.973321;;;
Muzejsko memorijalni centar Dražen Petrović;Kulturna ustanova;Trg Dražena Petrovića 3;;45.803111;15.963563;;;
Tiflološki muzej;Kulturna ustanova;Draškovićeva ulica 80;;45.806169;15.983817;;;
Hrvatski željeznički muzej;Kulturna ustanova;Ulica grada Vukovara 47;;45.800925;15.98462;;;
Muzej čokolade;Kulturna ustanova;Varšavska ulica 5;;45.811806;15.973171;;;
Muzej 80-tih;Kulturna ustanova;Ulica Pavla Radića 34;;45.816076;15.975636;;;
Muzej torture;Kulturna ustanova;Ulica Pavla Radića 14;;45.814393;15.975781;;;
Muzej mamurluka;Kulturna ustanova;Preradovićeva ulica 8;;45.810956;15.974171;;;
Muzej Anke Gvozdanović;Kulturna ustanova;Visoka ulica 8;;45.8169;15.971736;;;
Ambijentalna zbirka akademskog kipara profesora Roberta Frangeša Mihanovića;Kulturna ustanova;Rokov perivoj 2;;45.814655;15.966819;;;
Memorijalna zbirka i stan arhitekta Viktora Kovačića;Kulturna ustanova;Masarykova ulica 21;;45.810312;15.971634;;;
Zbirka Vjenceslava Richtera i Nade Kareš-Richter;Kulturna ustanova;Vrhovec 38;;45.818363;15.947807;;;
Zbirka majstorska radionica za restauraciju i gradnju gudačih instrumenata pok. Franje Schneidera;Kulturna ustanova;Trg Republike Hrvatske 11;;45.809725;15.96865;;;
Memorijalni prostor Miroslava i Bele Krleže;Kulturna ustanova;Krležin Gvozd 23;;45.818436;15.971254;;;
Zbirka dr. Ivana Ribara i Cate Dujšin Ribar;Kulturna ustanova;Demetrova ulica 3;;45.817326;15.972563;;;
Memorijalni stan Marije Jurić Zagorke;Kulturna ustanova;Dolac 8;;45.814109;15.977588;;;
"Zbirka dr. Josipa Kovačića ""Hrvatske slikarice rođene u 19. stoljeću""";Kulturna ustanova;Ulica Pavla Radića 24;;45.815211;15.975679;;;
Zbirka tradicionalnih afričkih umjetnina Drage Muvrina;Kulturna ustanova;Veslačka ulica 6;;45.789393;15.95682;;;
Zbirka skulptura akademskog kipara Zlatka Zlatića;Kulturna ustanova;Maksimirski perivoj/Zoološki vrt Grada Zagreba;;45.821675;16.019442;;;
Arhiv Tošo Dabac;Kulturna ustanova;Avenija Dubrovnik 17;;45.778436;15.981546;;;
CENTAR ZA ODGOJ I OBRAZOVANJE TUŠKANAC;Osnovna škola;Gornje Prekrižje 48;GORNJI GRAD - MEDVEŠČAK;45.84372;15.967097;;;
DJEČJI DOM A. G. MATOŠ;Osnovna škola;Selska cesta 132;TREŠNJEVKA - SJEVER;45.796316;15.943327;;;
CENTAR ZA ODGOJ I OBRAZOVANJE TUŠKANAC;Osnovna škola;Tuškanac 15;GORNJI GRAD - MEDVEŠČAK;45.825316;15.97039;;;
"CENTAR ZA ODGOJ I OBRAZOVANJE ""GOLJAK""";Osnovna škola;Našička ulica 5;TREŠNJEVKA - JUG;45.790158;15.931435;68314794212;;
"CENTAR ZA ODGOJ I OBRAZOVANJE ""GOLJAK""";Osnovna škola;Ulica Ivana Banjavčića 16;DONJI GRAD;45.809506;16.000571;68314794212;;
CENTAR ZA AUTIZAM;Osnovna škola;Ulica Zvonimira Ljevakovića 30/1;GORNJA DUBRAVA;45.839059;16.058712;63467332374;;
PODRUČNA ŠKOLA DRAGONOŽEC;Osnovna škola;Donjodragonoška cesta 44;BREZOVICA;45.662737;15.942004;;;
PODRUČNA ŠKOLA ODRANSKI OBREŽ;Osnovna škola;Obreška cesta 10, Odranski Obrež;BREZOVICA;45.721174;15.924721;;;
PODRUČNA ŠKOLA DEMERJE;Osnovna škola;Demerska ulica 35;BREZOVICA;45.731164;15.886263;;;
PODRUČNA ŠKOLA HRVATSKI LESKOVAC (OŠ BREZOVICA);Osnovna škola;Potočna ulica 9, Hrvatski Leskovac;NOVI ZAGREB - ZAPAD;45.747378;15.890664;;;
OSNOVNA ŠKOLA PETRA ZRINSKOGA;Osnovna škola;Krajiška ulica 9;DONJI GRAD;45.811926;15.958811;;;
OSNOVNA ŠKOLA JABUKOVAC;Osnovna škola;Jabukovac 30;GORNJI GRAD - MEDVEŠČAK;45.823891;15.970808;;;
OSNOVNA ŠKOLA PANTOVČAK;Osnovna škola;Hercegovačka ulica 108;GORNJI GRAD - MEDVEŠČAK;45.821699;15.959272;;;
OSNOVNA ŠKOLA KSAVERA ŠANDORA GJALSKOGA;Osnovna škola;Mlinarska cesta 35;GORNJI GRAD - MEDVEŠČAK;45.826269;15.977039;;;
OSNOVNA ŠKOLA RAPSKA;Osnovna škola;Rapska ulica 3;TRNJE;45.799772;15.998924;;;
OSNOVNA ŠKOLA TRNJANSKA;Osnovna škola;Trnjanska cesta 99;TRNJE;45.793021;15.980489;;;
OSNOVNA ŠKOLA,VANA FILIPOVIĆA;Osnovna škola;Ulica Ivana Filipovića 1;MAKSIMIR;45.819198;15.998519;;;
OSNOVNA ŠKOLA JORDANOVAC;Osnovna škola;Jordanovac 108;MAKSIMIR;45.826709;16.000927;;;
PODRUČNA ŠKOLA KOZJAK;Osnovna škola;Kozjak 27;MAKSIMIR;45.831988;16.000927;;;
OSNOVNA ŠKOLA BUKOVAC;Osnovna škola;Trnac 42;MAKSIMIR;45.83789;16.010757;;;
OSNOVNA ŠKOLA REMETE;Osnovna škola;Remete 99A;MAKSIMIR;45.84811;15.990357;;;
OSNOVNA ŠKOLA ŽITNJAK;Osnovna škola;I. Petruševec 1;PEŠČENICA - ŽITNJAK;45.775009;16.059239;;;
OSNOVNA ŠKOLA VUKOMEREC;Osnovna škola;Porečka 9;PEŠČENICA - ŽITNJAK;45.809574;16.0478;;;
OSNOVNA ŠKOLA FRANA KRSTE FRANKOPANA;Osnovna škola;Ivanićgradska ulica 24;PEŠČENICA - ŽITNJAK;45.80768;16.017686;;;
OSNOVNA ŠKOLA LOVRE PL. MATAČIĆA;Osnovna škola;Ulica Joze Laurenčića 1;PEŠČENICA - ŽITNJAK;45.793951;16.005326;;;
OSNOVNA ŠKOLA BOROVJE;Osnovna škola;Ulica Davora Zbiljskog 7;PEŠČENICA - ŽITNJAK;45.787307;16.008987;;;
OSNOVNA ŠKOLA OTOK;Osnovna škola;Ulica Stjepana Gradića 4;NOVI ZAGREB - ISTOK;45.765778;15.98646;;;
I. OSNOVNA ŠKOLA DUGAVE;Osnovna škola;Školski prilaz 7;NOVI ZAGREB - ISTOK;45.764198;15.995709;;;
OSNOVNA ŠKOLA ZAPRUĐE;Osnovna škola;Meštrovićev trg 8A;NOVI ZAGREB - ISTOK;45.781121;15.996139;;;
OSNOVNA ŠKOLA MLADOST;Osnovna škola;Karamanov prilaz 3;NOVI ZAGREB - ISTOK;45.775832;15.99923;;;
OSNOVNA ŠKOLA LUČKO;Osnovna škola;Puškarićeva ulica 102;NOVI ZAGREB - ZAPAD;45.761929;15.879446;;;
OSNOVNA ŠKOLA TRNSKO;Osnovna škola;Trnsko 25;NOVI ZAGREB - ZAPAD;45.774175;15.963287;;;
OSNOVNA ŠKOLA ODRA;Osnovna škola;Đačka ulica 5, Odra;NOVI ZAGREB - ZAPAD;45.731642;15.995896;;;
OSNOVNA ŠKOLA KAJZERICA;Osnovna škola;Ulica Žarka Dolinara 9;NOVI ZAGREB - ZAPAD;45.780246;15.96216;;;
OSNOVNA ŠKOLA RUDEŠ;Osnovna škola;Jablanska ulica 51;TREŠNJEVKA - SJEVER;45.797079;15.917594;;;
OSNOVNA ŠKOLA VOLTINO;Osnovna škola;Vinkovačka ulica 1;TREŠNJEVKA - SJEVER;45.802519;15.927708;;;
OSNOVNA ŠKOLA LJUBLJANICA;Osnovna škola;Svetoivanska ulica 33;TREŠNJEVKA - SJEVER;45.794691;15.934188;;;
OSNOVNA ŠKOLA HORVATI;Osnovna škola;Horvaćanska cesta 6;TREŠNJEVKA - JUG;45.78754;15.953079;;;
OSNOVNA ŠKOLA PREČKO;Osnovna škola;Dekanići 6;TREŠNJEVKA - JUG;45.794308;15.904671;;;
OSNOVNA ŠKOLA VRBANI;Osnovna škola;Listopadska ulica 8;TREŠNJEVKA - JUG;45.792037;15.918441;;;
OSNOVNA ŠKOLA KUSTOŠIJA;Osnovna škola;Sokolska ulica 7;ČRNOMEREC;45.812724;15.925947;;;
PODRUČNA ŠKOLA GORNJA KUSTOŠIJA;Osnovna škola;Kustošijanska ulica 272;ČRNOMEREC;45.83161;15.922412;;;
OSNOVNA ŠKOLA MEDVEDGRAD;Osnovna škola;Strma cesta 15;ČRNOMEREC;45.822044;15.936326;;;
OSNOVNA ŠKOLA GRANEŠINA;Osnovna škola;Granešina 1;GORNJA DUBRAVA;45.847111;16.053189;;;
OSNOVNA ŠKOLA ČUČERJE;Osnovna škola;Čučerska cesta 382;GORNJA DUBRAVA;45.893237;16.059902;;;
PODRUČNA ŠKOLA DANKOVEC;Osnovna škola;Slanovečka cesta 19;GORNJA DUBRAVA;45.872634;16.054097;;;
OSNOVNA ŠKOLA RETKOVEC;Osnovna škola;Aleja javora 2;DONJA DUBRAVA;45.826471;16.068442;;;
OSNOVNA ŠKOLA MALEŠNICA;Osnovna škola;Ulica Ante Topić - Mimare 36;STENJEVEC;45.808023;15.901667;;;
OSNOVNA ŠKOLA STENJEVEC;Osnovna škola;Bolnička cesta 92;PODSUSED - VRAPČE;45.818914;15.883049;;;
OSNOVNA ŠKOLA ŠESTINE;Osnovna škola;Podrebernica 13;PODSLJEME;45.852701;15.956403;;;
OSNOVNA ŠKOLA MARKUŠEVEC;Osnovna škola;Markuševečka cesta 160;PODSLJEME;45.874487;16.013587;;;
PODRUČNA ŠKOLA BAČUN;Osnovna škola;Markuševečka cesta 38;PODSLJEME;45.865678;15.995713;;;
PODRUČNA ŠKOLA VIDOVEC;Osnovna škola;Vidovec 51;PODSLJEME;45.898774;16.034831;;;
OSNOVNA ŠKOLA GRAČANI;Osnovna škola;Gračani 4A;PODSLJEME;45.858861;15.97348;;;
OSNOVNA ŠKOLA SESVETE;Osnovna škola;Ulica Ivana Gorana Kovačića 19;SESVETE;45.829066;16.117465;;;
OSNOVNA ŠKOLA LUKA;Osnovna škola;Ulica Otona Ivekovića 16;SESVETE;45.830093;16.105312;;;
OSNOVNA ŠKOLA SESVETSKI KRALJEVEC;Osnovna škola;Školska ulica 10, Sesvete;SESVETE;45.818288;16.177158;;;
PODRUČNA ŠKOLA PREKVRŠJE;Osnovna škola;Prigorska ulica 69A, Prekvršje;SESVETE;45.898758;16.111122;;;
PODRUČNA ŠKOLA VUGROVEC;Osnovna škola;Ulica Augusta Šenoe 28, Vugrovec;SESVETE;45.876702;16.112242;;;
PODRUČNA ŠKOLA PLANINA DONJA;Osnovna škola;Ulica 9. maja 5, Planina Donja;SESVETE;45.92596;16.091132;;;
PODRUČNA ŠKOLA ADAMOVEC;Osnovna škola;Ulica Dragutina M. Domjanića 75;SESVETE;45.907181;16.16366;;;
PODRUČNA ŠKOLA MORAVČE;Osnovna škola;Trg svetog Trojstva 1, Moravče;SESVETE;45.936639;16.168372;;;
PODRUČNA ŠKOLA GLAVNICA DONJA;Osnovna škola;Glavnička 26, Glavnica Donja;SESVETE;45.937311;16.145211;;;
OSNOVNA ŠKOLA BRESTJE;Osnovna škola;Ulica potočnica 8;SESVETE;45.83073;16.092022;;;
OSNOVNA ŠKOLA JELKOVEC;Osnovna škola;Ulica Dragana Plamenca 1;SESVETE;45.812215;16.111901;;;
OSNOVNA ŠKOLA IVER;Osnovna škola;Ulica Mladena Halape 8, Sesvete;SESVETE;45.812094;16.184704;;;
OSNOVNA ŠKOLA BREZOVICA;Osnovna škola;Brezovička cesta 98A;BREZOVICA;45.724967;15.906506;;;
PODRUČNA ŠKOLA KUPINEČKI KRALJEVEC;Osnovna škola;Kraljevečki brijegi 90;BREZOVICA;45.672258;15.872557;;;
PODRUČNA ŠKOLA JEŽDOVEC;Osnovna škola;Ježdovečka ulica 34A;NOVI ZAGREB - ZAPAD;45.77267;15.853657;;;
PODRUČNA ŠKOLA SAVSKA;Osnovna škola;Savska cesta 77;TRNJE;45.797279;15.961263;;;
PODRUČNA ŠKOLA STUPNIK;Osnovna škola;Sv. Benedikta 31;IZVAN OBUHVATA GRADA;45.751787;15.847689;;;
CENTAR ZA AUTIZAM;Osnovna škola;Ulica Vile Velebita 11B;GORNJA DUBRAVA;45.837835;16.059735;63467332374;;
OSNOVNA ŠKOLA LUČKO - STARA ŠKOLA;Osnovna škola;Puškarićeva ulica 39;NOVI ZAGREB - ZAPAD;45.761346;15.879725;;;
OSNOVNA ŠKOLA ALOJZIJA STEPINCA - DISLOCIRANI OBJEKT;Osnovna škola;Kuzminečka ulica 14;TREŠNJEVKA - JUG;45.789285;15.910084;;;
OSNOVNA ŠKOLA KUSTOŠIJA - STARA ŠKOLA;Osnovna škola;Ulica sv. Nikole Tavelića 6;ČRNOMEREC;45.812727;15.926838;;;
